LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0000007053-0001-1,MARTON STARK,,112 W 9TH STREET,LOS ANGELES,90015-,112 9TH 90015,,,,,,14,07/01/1974,12/31/1999,
0000007097-0001-4,JAMES E KENNEY,,12122 VAN NUYS BLVD,LAKEVIEW TE,91342-,12122 VAN NUYS 91342,,,,,,0,01/01/1991,03/01/1999,
0000007103-0001-1,ANTONIO CHAVEZ INFANTE,,3474 E 1ST STREET,LOS ANGELES,90063-,3474 1ST 90063,,,,,,14,01/01/2001,03/01/2001,
0000007109-0001-9,BERTHA SIMONS,,952 N HUDSON AVENUE #1,LOS ANGELES,90038-,952 HUDSON 90038,,,,,,0,06/01/1974,02/26/2003,
0000007113-0001-5,ALICIA ROBLES,,2850 LEEWARD AVENUE #103,LOS ANGELES,90005-1126,2850 LEEWARD 90005-1126,,,,,,1,01/01/2001,12/31/2009,
0003236365-0001-5,GREGORIO HUERTA,HUERTAS DRIVER SERVICES,2624 PASADENA AVENUE,LOS ANGELES,90031-2301,2624 Pasadena 90031-2301,,,,492000,Couriers & messengers,1,01/22/2021,,"(34.0773, -118.2153)"
0000007114-0002-8,T H E CLINIC INC,,5715 S BROADWAY,LOS ANGELES,90037-4131,5715 BROADWAY 90037-4131,,,,,,9,03/21/2012,01/01/2015,
0000007118-0001-8,TELEPORT COMMUNICATIONS LOS ANGELES INC,,624 S GRAND AVENUE #1711,LOS ANGELES,90017-,624 GRAND 90017,,,,,,0,12/07/1988,02/28/1994,
0000007146-0001-0,SANDYS SKI/SPORT INC,,18644 VENTURA BLVD,TARZANA,91356-,18644 VENTURA 91356,,,,,,0,11/01/1974,12/31/1998,
0000007181-0001-1,SEIRRAGULF ENTERPRISE INC,,3940 EAGLE ROCK BLVD #120,LOS ANGELES,90065-3657,3940 EAGLE ROCK 90065-3657,,,,,,13,07/01/2003,07/01/2004,
0000007183-0001-1,YOUNG MI KIM,,110 W 11TH STREET,LOS ANGELES,90015-,110 11TH 90015,,,,,,0,09/01/1991,12/31/1998,
0000007231-0001-1,SYED S RAHMAN/GH AZALA RAHMAN,,14241 IMPERIAL HIGHWAY,LA MIRADA,90638-,14241 IMPERIAL 90638,,,,,,0,01/07/1992,12/31/1993,
0000007233-0004-5,AMERICAN TEXTILE MAINTENANCE CO INC,,1413 E 20TH STREET,LOS ANGELES,90011-1301,1413 20TH 90011-1301,,,,,,9,01/01/1994,01/01/2011,
0000007244-0001-9,MUN KYUNG HAN/HYE LYON,,3916 WILSHIRE BLVD,LOS ANGELES,90010-3303,3916 WILSHIRE 90010-3303,,,,722110,Full-service restaurants,10,01/02/1992,01/01/2007,"(34.0617, -118.3117)"
0000007294-0001-7,YUSUF BEY JR,,10457 HANNA AVENUE,CHATSWORTH,91311-,10457 HANNA 91311,,,,,,12,04/29/1992,12/31/2000,
0000007335-0001-8,ADAM ZAMORA,,939 S ALMA STREET,SAN PEDRO,90731-,939 ALMA 90731,,,,,,15,01/01/2002,12/31/2002,
0000007397-0001-9,DINAH D GUARDADO,,4607 W 163RD STREET,LAWNDALE,90260-2850,4607 163RD 90260,,,,,,0,05/21/2003,01/01/2007,
0000007437-0001-5,JOHN E ANDRES,,7106 LOUISE AVENUE,VAN NUYS,91406-3550,7106 LOUISE 91406-3550,,,,,,6,05/01/1974,12/31/2018,
0000007453-0001-4,GREGORIO RIVERA,,4167 S RAYMOND AVENUE,LOS ANGELES,90037-1749,4167 RAYMOND 90037,,,,,,9,05/21/2003,01/01/2007,
0000007480-0001-1,ROBERT EMERY,,11232 BERTRAND AVENUE,GRANADA HILLS,91344-4007,11232 BERTRAND 91344-4007,,,,,,12,07/01/2003,01/01/2007,
0000007508-0001-7,CURT A BOGGIO,,28750 SHADYVIEW DRIVE,CANYON COUNTRY,91387-1770,28750 SHADYVIEW 91387,,,,,,0,01/01/1999,07/01/2021,
0000007528-0001-4,RUDY GARCIA,,1552 N EUCALYPTUS AVENUE,RIALTO,92376-,1552 EUCALYPTUS 92376,,,,,,0,05/18/1992,11/01/2004,
0000009139-0001-4,DORA LILIAN TORRES,,710 S ALVARADO STREET #203,LOS ANGELES,90057-,710 ALVARADO 90057,,,,,,0,02/16/2000,12/28/2001,
0000007540-0001-5,ANDERSON EQUIPMENT CO /C,,8300 ATLANTIC AVENUE,BELL,90201-,8300 ATLANTIC 90201,,,,,,0,01/01/1981,06/30/1995,
0000007556-0001-6,ALEJANDRO G URDIALES,,6823 SAN LUIS STREET,PARAMOUNT,90723-,6823 SAN LUIS 90723,,,,,,0,04/10/1992,07/01/1996,
0000007566-0001-0,KIN LEE FASHION COMPANY INC,,1250 N SAN FERNANDO ROAD #B,LOS ANGELES,90065-,1250 SAN FERNANDO 90065,,,,,,0,05/01/1992,12/31/2001,
0000007580-0001-0,DOLORES BURGOS,,318 W 9TH STREET #915,LOS ANGELES,90015-1545,318 9TH 90015-1545,,,,,,14,04/14/1992,07/14/2017,
0000007631-0001-4,NOVICA UNITED INC,,3250 OCEAN PARK BLVD SUITE #300,SANTA MONICA,90405-3219,3250 OCEAN PARK 90405-3219,,,,,,0,03/01/2000,08/01/2010,
0000007646-0001-1,ARIA A GOLRIZ,,506 S BROADWAY,LOS ANGELES,90013-,506 BROADWAY 90013,,,,,,14,01/01/2000,12/30/2000,
0000007688-0001-4,JOSE G GOMEZ,,3424 E 1ST STREET,LOS ANGELES,90063-,3424 1ST 90063,,,,,,14,03/01/2000,12/31/2002,
0000007723-0001-8,ANDALUSIA PARTNERS LLC,,1601 LASUEN ROAD,SANTA BARBARA,93103-1817,1601 LASUEN 93103-1817,,,,,,0,12/04/2002,07/01/2005,
0000007739-0001-9,AMERICAN INSTITUTE OF SOCIAL ADAPTATION INC,,6767 W SUNSET BLVD #7,LOS ANGELES,90028-,6767 SUNSET 90028,,,,,,13,03/01/2000,12/31/2001,
0000007775-0001-5,DAVID YOUNG,,7705 S BROADWAY,LOS ANGELES,90003-,7705 BROADWAY 90003,,,,,,0,04/15/1992,12/31/1995,
0000007787-0001-8,YOUNG JUN,,401 CONCORD STREET #206,GLENDALE,91203-1564,401 CONCORD 91203-1564,,,,,,0,05/27/2003,01/01/2004,
0000007844-0001-8,LEON MAGSICO,,9456 ARLETA AVENUE,ARLETA,91331-4704,9456 ARLETA 91331-4704,,,,,,6,01/01/1975,12/31/2005,
0000007848-0024-5,IMPERIAL PARKING INDUSTRIES INC,,660 S FIGUEROA STREET,LOS ANGELES,90017-3442,660 FIGUEROA 90017-3442,,,,,,9,01/31/2005,10/30/2008,
0000008045-0001-4,LI MING WU,,125 N 2ND STREET,ALHAMBRA,91801-3446,125 2ND 91801-3446,,,,,,0,06/09/2003,12/31/2011,
0000008063-0001-2,FELICIANO OLIDEN,,14001 BARNER AVENUE,SYLMAR,91342-,14001 BARNER 91342,,,,,,0,05/01/1992,12/31/1996,
0000008158-0001-0,CHANG SAE CHOI,,7114 WYNGATE STREET,TUJUNGA,91042-1900,7114 WYNGATE 91042-1900,,,,,,2,06/15/2003,01/01/2004,
0000008190-0001-8,MARIA D GALLAGA,,8950 JUNIPER STREET #B,LOS ANGELES,90002-1828,8950 JUNIPER 90002-1828,,,,,,0,06/02/2003,12/31/2007,
0000008201-0001-8,OGV INC,,11151 VANOWEN STREET,N HOLLYWOOD,91605-,11151 VANOWEN 91605,,,,,,0,01/01/1992,04/17/2003,
0000008203-0001-7,JONNY HALDER/ MOHAMMAD ALAULLAH,,121 E ANAHEIM STREET,WILMINGTON,90744-4513,121 ANAHEIM 90744-4513,,,,,,15,12/01/2004,03/01/2005,
0000008252-0001-1,TIMOLIN/CASEY COLE,,800 S WINDSOR BLVD,LOS ANGELES,90005-,800 WINDSOR 90005,,,,,,10,01/31/1992,12/31/1996,
0000008410-0001-3,EMILY KIM,,431 S BURNSIDE AVENUE APT #MG,LOS ANGELES,90036-5339,431 BURNSIDE 90036-5339,,,,,,4,02/01/2000,09/30/2007,
0000008435-0001-3,LA PIZZA LOCA INC,,610 S RAMPART BLVD #31,LOS ANGELES,90057-3213,610 RAMPART 90057-3213,,,,,,1,04/16/1992,12/31/2017,
0000008532-0001-8,ARMSTRONG FAMILY /C,,931 VENICE BLVD,LOS ANGELES,90015-3235,931 VENICE 90015-3235,,,,,,1,01/01/1954,11/11/2021,
0000008544-0001-1,SARAH & SANG INC,,106 E 1ST STREET,LOS ANGELES,90012-,106 1ST 90012,,,,,,0,02/15/2000,05/31/2002,
0000008562-0001-9,NIVIA ARIAS,,122 N CHICAGO STREET,LOS ANGELES,90033-,122 CHICAGO 90033,,,,,,14,06/09/2003,02/20/2004,
0000008583-0001-1,FRESH & FAST DOWNTOWN LLC,,852 S BROADWAY,LOS ANGELES,90014-,852 BROADWAY 90014,,,,,,14,01/10/2000,12/31/2000,
0000008617-0001-1,ANGELA AUSTIN,,429 W 7TH STREET,LOS ANGELES,90014-1601,429 7TH 90014-1601,,,,,,14,05/27/2003,02/01/2019,
0000008704-0002-1,SANG BONG LEE,,3330 VERDUGO ROAD,LOS ANGELES,90065-2845,3330 VERDUGO 90065-2845,,,,,,14,09/15/2007,01/10/2012,
0000008729-0001-2,YOUNG H/KOOK H CHO ET AL,,2120 W 8TH STREET,LOS ANGELES,90057-,2120 8TH 90057,,,,,,0,02/01/1992,10/30/1994,
0000008740-0001-9,UNKNOWN,,1756 W 45TH STREET,LOS ANGELES,90062-1951,1756 45TH 90062,,,,,,8,06/11/2003,01/01/2007,
0000008762-0001-5,JANAREA INC ET AL,,1901 WILSHIRE BLVD,LOS ANGELES,90057-,1901 WILSHIRE 90057,,,,,,0,01/16/1989,03/31/1996,
0000008797-0001-9,DANTE SORIA,,2132 YOSEMITE DRIVE,LOS ANGELES,90041-2702,2132 YOSEMITE 90041-2702,,,,,,14,02/08/2000,12/30/2008,
0000008848-0001-3,JUDE OGOKE,,11124 SPINNING AVENUE,INGLEWOOD,90303-,11124 SPINNING 90303,,,,,,0,02/22/2000,12/31/2003,
0000008893-0001-9,ROBERT K TUFTS,,6829 TAHITI DRIVE,CYPRESS,90630-,6829 TAHITI 90630,,,,,,0,06/01/1994,11/01/2004,
0000008958-0001-5,YOUNG YOO,,17643 SHERMAN WAY,VAN NUYS,91406-,17643 SHERMAN 91406,,,,,,12,01/01/1991,12/31/1997,
0000008973-0001-0,FERNANDO PADILLA,,5520 SANTA MONICA BLVD #113,LOS ANGELES,90038-,5520 SANTA MONICA 90038,,,,,,13,02/26/2000,12/31/2001,
0000009015-0001-1,CRS SPORTS /C,,16704 HAWTHORNE BLVD,LAWNDALE,90260-,16704 HAWTHORNE 90260,,,,,,0,09/23/1992,08/22/1998,
0000009033-0001-9,LAWRENCE DOUGLAS PAULSON,,487 HOALA DRIVE,KIHEI,96753-,487 HOALA 96753,,,,,,0,11/23/1992,12/31/1994,
0000009088-0001-0,JORGE SARMIENTO GRAZZIANI,,710 S ALVARADO STREET #122,LOS ANGELES,90057-,710 ALVARADO 90057,,,,,,0,06/10/2003,06/30/2003,
0000009100-0001-2,BRIDGET K CARMAN,,312 N WYCLIFF AVENUE,SAN PEDRO,90732-,312 WYCLIFF 90732,,,,,,15,01/04/1993,12/31/1996,
0000009188-0001-8,RICHARD H SHIOTSUGU,,1371 LOWER MAIN STREET #3,WAILUKU,96793-,1371 LOWER MAIN 96793,,,,,,0,01/02/1985,03/31/2001,
0000009197-0001-7,MARIA ESPINOZA,,4127 S BROADWAY,LOS ANGELES,90037-,4127 BROADWAY 90037,,,,,,0,05/01/1994,12/31/1998,
0000009281-0001-4,ANITA GONZALES,,226 GRAND AVENUE,LONG BEACH,90803-,226 GRAND 90803,,,,,,0,02/08/1993,08/24/1996,
0000009469-0001-0,ROBERT E LAMB INC,,939 JEFFERSON AVENUE,NORRISTOWN,19403-,939 JEFFERSON 19403,,,,,,0,07/01/2002,08/28/2004,
0000009497-0001-1,XIAO-HONG XUE,,933 CHUNG KING ROAD,LOS ANGELES,90012-,933 CHUNG KING 90012,,,,,,0,02/26/1992,12/31/1997,
0000009504-0001-3,DONALD L WILLIAMS,,1252 E 123RD STREET,LOS ANGELES,90059-3208,1252 123RD 90059-3208,,,,,,0,06/16/2003,12/31/2003,
0000009835-0001-3,MYRA YOUNG,,450 S ROBERTSON BLVD,LOS ANGELES,90048-,450 ROBERTSON 90048,,,,,,0,03/10/2003,12/31/2003,
0000009946-0001-0,HENRY HAU PHUC NGUYEN,,5405 N FIGUEROA STREET,LOS ANGELES,90042-4117,5405 FIGUEROA 90042-4117,,,,,,1,10/02/2003,02/24/2004,
0000009979-0001-4,YOUNG HEE SO,,870 S WESTERN AVENUE #41,LOS ANGELES,90005-3301,870 WESTERN 90005-3301,,,,,,10,03/01/2000,01/01/2007,
0000009983-0001-1,CHRISTINE RASMUSSEN,,1020 LAGUNA AVENUE,LOS ANGELES,90026-,1020 LAGUNA 90026,,,,,,0,03/15/2000,01/05/2004,
0000009991-0001-5,ELLIOTT M BRUMER DPM,,1549 W OLYMPIC BLVD,LOS ANGELES,90015-,1549 OLYMPIC 90015,,,,,,0,02/07/2000,12/31/2002,
0000010095-0011-8,DOLLAR TREE STORES INC,,4160 LINCOLN BLVD,MARINA DEL REY,90292-5616,4160 LINCOLN 90292-5616,,,,,,11,01/30/2011,08/31/2021,
0000010095-0037-1,DOLLAR TREE STORES INC,,1200 VINE STREET,LOS ANGELES,90038-1612,1200 VINE 90038-1612,,,,,,13,06/04/2015,12/31/2020,
0000010119-0001-8,ALFRED J MENHAMS,,45 OXFORD COURT,PETALUMA,94952-,45 OXFORD 94952,,,,,,0,11/01/1972,06/30/1998,
0000010137-0001-6,BROOKE BURTON,,224 S MARTEL AVENUE,LOS ANGELES,90036-2737,224 MARTEL 90036-2737,,,,,,5,01/01/1999,12/31/2003,
0000010165-0001-8,JOHN A/STEVEN HAIGHT,,13751 CARLSBAD DRIVE,SANTA ANA,92705-2623,13751 CARLSBAD 92705-2623,,,,,,0,09/01/2000,12/31/2007,
0000010202-0001-1,TONYN FAAOLA,,3757 E 1ST STREET,LOS ANGELES,90063-,3757 1ST 90063,,,,,,0,01/01/2000,02/15/2002,
0000010372-0001-4,TUONG VINH HOANG,,9148 CEDROS AVENUE,PANORAMA CITY,91402-,9148 CEDROS 91402,,,,,,0,04/13/1992,10/31/1998,
0000010426-0001-2,STACEY C SCHMIDT,,5754 FAIR AVENUE #8,N HOLLYWOOD,91601-,5754 FAIR 91601,,,,,,0,05/01/1992,12/31/1993,
0000010433-0001-2,CORRY NYMEYER,,1608 N CAHUENGA BLVD #465,LOS ANGELES,90028-6202,1608 CAHUENGA 90028-6202,,,,,,13,01/01/1999,04/13/2005,
0000010449-0001-3,SOCORRO FIGUEROA,,6126 BRYNHURST AVENUE #6,LOS ANGELES,90043-3816,6126 BRYNHURST 90043-3816,,,,,,8,01/01/1999,12/31/2010,
0000010714-0001-4,EMILIO B LUJAN,,17361 ROSCOE BLVD,NORTHRIDGE,91325-,17361 ROSCOE 91325,,,,,,12,09/08/2003,12/31/2003,
0000010810-0001-4,VAL E TALLE,,23668 GERRAD WAY,WEST HILLS,91307-1319,23668 GERRAD 91307-1319,,,,,,3,01/01/2002,12/31/2003,
0000010834-0001-0,EDWARD A DRENTEN,,11136 ALLEGHENY STREET,SUN VALLEY,91352-1102,11136 ALLEGHENY 91352-1102,,,,,,2,04/01/2001,10/25/2005,
0000010877-0001-8,JAVIER F ASCARRUNZ JR,,8617 YOLANDA AVENUE,NORTHRIDGE,91324-,8617 YOLANDA 91324,,,,,,12,05/01/1992,12/31/1999,
0000010893-0001-7,JAIME ROQUE,,5820 BENNER STREET #202,LOS ANGELES,90042-4757,5820 BENNER 90042-4757,,,,,,1,01/14/2004,11/16/2006,
0000010896-0001-1,JEROME A WODARZ,,21511 SHERMAN WAY,CANOGA PARK,91303-,21511 SHERMAN 91303,,,,,,0,06/01/1992,12/31/2002,
0000010908-0001-5,ANN BALTZ,,5335 YARMOUTH AVENUE #204,ENCINO,91316-,5335 YARMOUTH 91316,,,,,,0,03/26/2000,09/28/2001,
0000010921-0001-1,D E A M INC,,19528 VENTURA BLVD #266,TARZANA,91356-2917,19528 VENTURA 91356-2917,,,,,,3,05/20/1992,12/31/1998,
0000010979-0001-5,NICHOLAS A BLASI,,4545 LOS FELIZ BLVD #108,LOS ANGELES,90027-2052,4545 LOS FELIZ 90027-2052,,,,,,4,04/01/2003,01/31/2004,
0000011013-0001-0,MYRON C NOLTE CPA INC,,3862 SHERVIEW DRIVE,SHERMAN OAKS,91403-,3862 SHERVIEW 91403,,,,,,0,01/01/1975,07/20/1999,
0000011099-0001-6,CROWN INDUSTRIES INC,,155 N PARK STREET,EAST ORANGE,07017-,155 PARK 07017,,,,,,0,09/02/1992,06/23/2003,
0000011144-0001-3,ROBERT K BROWN,,12333 HOLLAND ROAD,POWAY,92064-,12333 HOLLAND 92064,,,,,,0,04/03/1992,08/30/1993,
0000011170-0001-6,MICHAEL DEAR,,3009 LINDA LANE,SANTA MONICA,90405-,3009 LINDA 90405,,,,,,0,01/03/1992,12/31/1996,
0000011207-0001-1,IRVINE ESCROW INC,,8840 WARNER AVENUE #100,FOUNTAIN VLY,92708-,8840 WARNER 92708,,,,,,0,09/01/1987,08/24/1992,
0000011266-0001-8,JOY B BLANKINSHIP,,6605 GERALD AVENUE,VAN NUYS,91406-5704,6605 GERALD 91406,,,,,,6,01/01/1999,12/31/2004,
0000011298-0001-8,SHEILA LYNCH,,600 MOULTON AVENUE #304,LOS ANGELES,90031-,600 MOULTON 90031,,,,,,0,09/18/1991,09/01/1994,
0000011349-0001-2,JOHN J GONZALEZ,,1269 E 6TH STREET,LOS ANGELES,90021-,1269 6TH 90021,,,,,,14,03/06/2000,12/31/2002,
0000011365-0001-1,GORDON ALPER,,238 SIERRA MANOR ROAD,MAMMOTH LAKES,93546-,238 SIERRA MANOR 93546,,,,,,0,06/01/1992,08/26/1995,
0000011411-0001-3,ALBERT J BURKETT,,2960 AIRWAY AVENUE #B101,COSTA MESA,92626-,2960 AIRWAY 92626,,,,,,0,01/01/1992,08/30/1993,
0000011432-0001-5,GARTEN CORP,,13695 ALTON PARKWAYS,IRVINE,92714-,13695 ALTON 92714,,,,,,0,04/15/1992,08/30/1993,
0000011455-0001-6,AJAY BERRY,,11625 MONTANA AVENUE #230,LOS ANGELES,90049-4642,11625 MONTANA 90049,,,,,,11,03/01/2000,12/31/2006,
0000011501-0001-8,HARO ENGINEERING/CONSTRUCTION INC,,901 W ARROW HIGHWAY,GLENDORA,91740-5414,901 ARROW 91740-5414,,,,,,0,10/01/1992,05/01/2003,
0000011540-0001-8,IRAJ KHALKHALI MD INC,,21840 NORMANDIE AVENUE,TORRANCE,90502-,21840 NORMANDIE 90502,,,,,,0,03/06/2000,12/31/2000,
0000011546-0001-5,APEX ENGINEERING INC,,4326 BEULAH DRIVE,LA CANADA,91011-3321,4326 BEULAH 91011-3321,POST OFFICE BOX #661778,ARCADIA,91066-1778,,,0,03/01/1992,04/19/2013,
0000011632-0001-1,NGA AI HAN,,861 N SPRING STREET #124,LOS ANGELES,90012-5810,861 SPRING 90012,,,,,,1,04/15/1992,04/21/2005,
0000011635-0001-5,WILFREDO GUERRA CRUZ,,3663 VIRGINIA STREET,LYNWOOD,90262-4355,3663 VIRGINIA 90262-4355,,,,235210,Painting and Wall Covering Contractors (1997 NAICS),0,09/09/2003,,"(33.9188, -118.2043)"
0000011641-0001-1,JOHN C GRAVES,,8400 KEOKUK AVENUE,WINNETKA,91306-1609,8400 KEOKUK 91306-1609,,,,,,12,04/13/1992,12/31/2020,
0000011697-0001-6,HELEN E SULLIVAN,,5112 OLGA AVENUE,CYPRESS,90630-4433,5112 OLGA 90630,,,,,,0,05/01/1992,06/30/2006,
0000011784-0001-7,REYNA GARCIA,,1018 SANTEE STREET,LOS ANGELES,90015-1720,1018 SANTEE 90015,,,,,,9,10/01/2003,12/31/2004,
0000011921-0001-8,BARBARA B RICE,,620 PALISADES DRIVE,PACIFIC PALISADES,90272-2849,620 PALISADES 90272-2849,,,,,,11,01/01/1999,09/02/2017,
0000011963-0001-1,RODORA DE VERA CARO,,535 S ALEXANDRIA AVENUE #325,LOS ANGELES,90020-,535 ALEXANDRIA 90020,,,,,,0,01/02/2001,12/31/2002,
0000011997-0002-9,AEG LIVE LLC,,649 W JEFFERSON BLVD,LOS ANGELES,90007-3626,649 JEFFERSON 90007-3626,,,,,,9,10/01/2012,12/31/2014,
0000012896-0001-5,PURITAN-BENNETT CORP,,17855 ROWLAND,ROWLAND HGTS,91748-,17855 ROWLAND 91748,,,,,,0,05/01/1948,03/31/1996,
0000012933-0001-8,WILLIAM TRUJILLO,,19050 SHERMAN WAY #441,RESEDA,91335-2601,19050 SHERMAN 91335,,,,,,3,06/01/2002,12/31/2004,
0000013177-0001-2,C HERB BERGER INC,,1548 16TH STREET,SANTA MONICA,90404-3309,1548 16TH 90404-3309,,,,,,0,01/01/1984,12/31/2006,
0000013252-0001-1,LUIS A MEDINA,,18005 MARTHA STREET,ENCINO,91316-,18005 MARTHA 91316,,,,,,12,03/01/2000,12/31/2000,
0000013267-0001-7,ROBERT W GILLETT,,4910 8TH AVENUE,LOS ANGELES,90043-,4910 8TH 90043,,,,,,0,03/11/2000,12/31/2000,
0000013278-0001-5,JUNG S KIM,,3511 W OLYMPIC BLVD #102,LOS ANGELES,90019-3563,3511 OLYMPIC 90019-3563,,,,,,10,02/18/2000,04/01/2022,
0000013403-0001-3,BEHDAD D JADIDOLAHI,,824 SAN JULIAN STREET,LOS ANGELES,90014-,824 SAN JULIAN 90014,,,,,,14,05/30/1992,12/31/1996,
0000013585-0001-0,CLAUDILENE INC,,8771 W PICO BLVD,LOS ANGELES,90035-,8771 PICO 90035,,,,,,0,06/01/1992,09/19/1993,
0000013607-0001-8,NEYMAN VOLFSON ET AL PTR,,17530 CANDIA STREET,GRANADA HILLS,91344-1308,17530 CANDIA 91344,,,,,,12,06/03/2002,07/30/2009,
0000013609-0001-7,YUKIYA TAKANO,,3365 OVERLAND AVENUE #1A,LOS ANGELES,90034-3558,3365 OVERLAND 90034,,,,,,5,03/01/2000,12/31/2000,
0000013614-0001-8,MARCIA KASSAN,,7403 W SUNSET BLVD,LOS ANGELES,90046-3403,7403 SUNSET 90046,,,,,,4,05/01/1992,12/31/2004,
0000013750-0001-2,OMER A RAMOS,,721 LOYOLA AVENUE,CARSON,90746-3903,721 LOYOLA 90746-3903,,,,,,0,03/07/2000,01/01/2007,
0000013754-0001-1,NDE NAJARRO CASTILLO,,4065 S CENTRAL AVENUE #1,LOS ANGELES,90011-,4065 CENTRAL 90011,,,,,,0,03/12/2000,12/31/2000,
0000013757-0001-4,TERESA M MALCA,,600 W BROADWAY #205,GLENDALE,91204-1069,600 BROADWAY 91204,,,,,,0,04/01/1992,09/01/1999,
0000013775-0001-2,JORGE ADAN RAMOS/RENE FRANCISCO PEREZ,,2614 W 8TH STREET,LOS ANGELES,90057-,2614 8TH 90057,,,,,,0,03/01/1992,06/25/1999,
0000013791-0001-1,JERECO INC,,811 S BURNSIDE AVENUE,LOS ANGELES,90036-,811 BURNSIDE 90036,,,,,,0,02/20/1992,02/28/1997,
0000013795-0001-0,SEDA MENECHYAN,,4785 SANTA MONICA BLVD,LOS ANGELES,90029-2631,4785 SANTA MONICA 90029-2631,,,,,,13,07/16/1992,11/15/2010,
0000013838-0004-4,OJA ENTERPRISE INC,,13035 VICTORY BLVD,NORTH HOLLYWOOD,91606-2925,13035 VICTORY 91606-2925,,,,,,2,03/15/2006,01/01/2007,
0000013843-0001-1,JERRY DUPREE,,15414 FUGATE COURT,MORENO VALLEY,92551-3619,15414 FUGATE 92551-3619,,,,,,0,01/02/1991,06/15/2014,
0000013865-0001-7,CHU CO INC,,7711 ROSEMEAD BLVD,PICO RIVERA,90660-,7711 ROSEMEAD 90660,,,,,,0,06/28/1983,05/06/1997,
0000013930-0001-1,LARRY G OLIVEROS,,7240 CORBIN AVENUE APT #2,RESEDA,91335-3486,7240 CORBIN 91335-3486,,,,,,3,02/01/2000,06/13/2011,
0000013945-0001-8,ENCINO PLAZA LLC,,5400 BALBOA BLVD,ENCINO,91316-,5400 BALBOA 91316,,,,,,0,11/24/1999,09/30/2002,
0000013976-0001-3,LINDA K WHALEY,,4769 ELMER AVENUE,TOLUCA LAKE,91602-,4769 ELMER 91602,,,,,,0,02/01/2000,06/01/2000,
0000014000-0001-4,DEBRA J DENNIS,,16832 VERDURA AVENUE #6,PARAMOUNT,90723-5648,16832 VERDURA 90723,,,,,,0,03/08/2000,12/31/2002,
0000014032-0001-4,AMERICAN READY MIX INC,,1141 GRAAF AVENUE,RIDGECREST,93555-,1141 GRAAF 93555,,,,,,0,03/08/2000,09/28/2001,
0000014058-0001-9,ARPIK LOUISA GOUMROIAN,,5158 HOLLYWOOD BLVD,LOS ANGELES,90027-,5158 HOLLYWOOD 90027,,,,,,13,09/15/1992,12/31/1997,
0000014061-0001-1,JAMES SHOVAK,,1335 N LA BREA AVENUE,LOS ANGELES,90028-,1335 LA BREA 90028,,,,,,0,03/08/2000,12/31/2000,
0000014090-0001-7,BG KIM CONSTRUCTION INC,,7510 W SUNSET BLVD #502,LOS ANGELES,90046-,7510 SUNSET 90046,,,,,,0,04/01/1980,11/30/1996,
0000014123-0001-3,STREET LEGENDS INC,,11300 MAGNOLIA BLVD #6,N HOLLYWOOD,91601-,11300 MAGNOLIA 91601,,,,,,0,04/15/2000,12/31/2000,
0000014148-0001-3,DIANA ALEX DJANASHVILI,,6225 COLDWATER CANYON AVENUE #304,N HOLLYWOOD,91606-,6225 COLDWATER CANYON 91606,,,,,,0,01/02/1999,12/31/2000,
0000014180-0001-1,TRACEY PENNINGTON,PENNINGTON SALON,139 S KINGS ROAD,LOS ANGELES,90048-4109,139 KINGS 90048-4109,,,,,,5,07/24/1992,12/31/2014,"(34.0736, -118.3721)"
0000014206-0001-8,FABIOLA BANDA,,2121 W 8TH STREET,LOS ANGELES,90057-,2121 8TH 90057,,,,,,0,04/01/1992,12/31/1997,
0000014222-0001-7,MICHAEL A RIVERA,,6290 W SUNSET BLVD #625,LOS ANGELES,90028-,6290 SUNSET 90028,,,,,,13,02/15/1992,12/31/2000,
0000014266-0001-0,HAROUTYOUN S JARLEKIAN,,6758 HOLLYWOOD BLVD,LOS ANGELES,90028-,6758 HOLLYWOOD 90028,,,,,,13,05/28/1992,12/31/1999,
0000014302-0001-8,MARINDI NETWORKS INC,,3007 WASHINGTON BLVD #212,MARINA DEL REY,90292-5581,3007 WASHINGTON 90292-5581,,,,,,11,07/01/2000,12/31/2006,
0000014313-0001-6,ESSENCE COMMUNICATIONS PARTNERS,,6300 WILSHIRE BLVD,LOS ANGELES,90048-,6300 WILSHIRE 90048,,,,,,0,10/19/2000,12/31/2001,
0000014320-0001-6,EUGENE D BIRNBAUM & ASSOCIATES /A CORP,,1626 SILVER LAKE BLVD,LOS ANGELES,90026-,1626 SILVER LAKE 90026,,,,,,13,07/20/1985,12/31/1999,
0000014332-0001-9,CHHENG TEAV SO,,404 S LOS ANGELES STREET #111,LOS ANGELES,90013-,404 LOS ANGELES 90013,,,,,,0,06/25/1992,01/01/2000,
0000014387-0001-0,ABAS AZIZ GOLSHANI,,1928 W 7TH STREET,LOS ANGELES,90057-,1928 7TH 90057,,,,,,0,06/07/1992,12/31/1998,
0000014395-0001-4,VEPO CORP,,428 N MOSS STREET,BURBANK,91502-1726,428 MOSS 91502-1726,,,,,,0,06/01/1992,12/31/2007,
